Id,CIF,Entidad_Norm,Provincia_Entidad,ID_ENTIDAD,NIF_COD,ACRONIMO,NOMBRE_ENTIDAD,Nombre_Entidad_Mostrar,TIPO_ENTIDAD_N1_1,TIPO_ENTIDAD_N2_1,DIRECCION_POSTAL,COD_POSTAL,COD_PROVINCIA,PROVINCIA,COD_CCAA,CCAA,ENLACE_WEB,SOMMA,TIPO_ENTIDAD_REGIONAL,ESTADO_x,CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,Provincia_Codigo,C_ID_UD_ORGANICA,C_DNM_UD_ORGANICA,C_ID_NIVEL_ADMON,C_ID_TIPO_ENT_PUBLICA,N_NIVEL_JERARQUICO,C_ID_DEP_UD_SUPERIOR,C_DNM_UD_ORGANICA_SUPERIOR,C_ID_DEP_UD_PRINCIPAL,C_DNM_UD_ORGANICA_PRINCIPAL,B_SW_DEP_EDP_PRINCIPAL,C_ID_DEP_EDP_PRINCIPAL,C_DNM_UD_ORGANICA_EDP_PRINCIPAL,C_ID_ESTADO,D_VIG_ALTA_OFICIAL,NIF_CIF,C_ID_AMB_PROVINCIA,C_DESC_PROV,CONTACTOS,List_Entidad_Norm,List_Provincia_Entidad,List_CIF
13304,,instituto de productos lacteos de asturias ipla csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de productos lacteos de asturias ipla csic,,
13305,,instituto de productos naturales y agrobiologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de productos naturales y agrobiologia,,
13306,,instituto de productos naturales y agrobiologia csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de productos naturales y agrobiologia csic,,
13307,,instituto de productos naturales y agrobiologia del csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de productos naturales y agrobiologia del csic,,
13308,,instituto de productos naturales y agrobiologia ipna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de productos naturales y agrobiologia ipna,,
13309,,instituto de productos naturales y agrobiologia ipna csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de productos naturales y agrobiologia ipna csic,,
13310,,instituto de quimica avanzada de cataluna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica avanzada de cataluna,,
13311,,instituto de quimica avanzada de cataluna iqac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica avanzada de cataluna iqac,,
13312,,instituto de quimica computacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica computacional,,
13313,,instituto de quimica computacional y catalisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica computacional y catalisis,,
13314,,instituto de quimica computacional y catalisis instituto de quimica computacional y catalisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica computacional y catalisis instituto de quimica computacional y catalisis,,
13315,,instituto de quimica fisica rocasolano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica fisica rocasolano,,
13316,,instituto de quimica fisica rocasolano iqfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica fisica rocasolano iqfr,,
13317,,instituto de quimica medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica medica,,
13318,,instituto de quimica medica iqm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica medica iqm,,
13319,,instituto de quimica organica general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica organica general,,
13320,,instituto de quimica organica general iqog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de quimica organica general iqog,,
13321,,instituto de recerca biomedica de lleida irblleida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de recerca biomedica de lleida irblleida,,
13322,,instituto de reconocimiento molecular y desarrollo tecnologico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de reconocimiento molecular y desarrollo tecnologico,,
13323,,instituto de recursos naturales inrena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de recursos naturales inrena,,
13324,,instituto de recursos naturales y agrobiologia csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de recursos naturales y agrobiologia csic,,
13325,,instituto de recursos naturales y agrobiologia de sevilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de recursos naturales y agrobiologia de sevilla,,
13326,,instituto de recursos naturales y agrobiologia de sevilla csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de recursos naturales y agrobiologia de sevilla csic,,
13327,,instituto de recursos naturales y agrobiologia irnasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de recursos naturales y agrobiologia irnasa,,
13328,,instituto de recursos naturales y agrobiologia irnase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de recursos naturales y agrobiologia irnase,,
13329,,instituto de recursos naturales y ordenacion del territorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de recursos naturales y ordenacion del territorio,,
13330,,instituto de restauracion del patrimonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de restauracion del patrimonio,,
13331,,instituto de robotica e informatica industrial iri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de robotica e informatica industrial iri,,
13332,,instituto de robotica e informatica industrial iri instituto de robotica e informatica industrial iri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de robotica e informatica industrial iri instituto de robotica e informatica industrial iri,,
13333,,instituto de robotica y de tecnologias de la informacion y las comunicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de robotica y de tecnologias de la informacion y las comunicaciones,,
13334,,instituto de salud carlos iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de salud carlos iii,,
13335,,instituto de salud carlos iii de madrid isciii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de salud carlos iii de madrid isciii,,
13336,,instituto de salud carlos iiiescuela nacional de sanidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de salud carlos iiiescuela nacional de sanidad,,
13337,,instituto de salud tropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de salud tropical,,
13338,,instituto de salud tropical istun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de salud tropical istun,,
13339,,instituto de seguridad de los vehiculos automoviles duque de santo mauro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de seguridad de los vehiculos automoviles duque de santo mauro,,
13340,,instituto de seguridad industrial radiofisica y medioambiental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de seguridad industrial radiofisica y medioambiental,,
13341,,instituto de sintesis quimica y catalisis homogenea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de sintesis quimica y catalisis homogenea,,
13342,,instituto de sintesis quimica y catalisis homogenea isqch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de sintesis quimica y catalisis homogenea isqch,,
13343,,instituto de sistemas optoelectronicos y microtecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de sistemas optoelectronicos y microtecnologia,,
13344,,instituto de sistemas optoelectronicos y microtecnologia isom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de sistemas optoelectronicos y microtecnologia isom,,
13345,,instituto de sistemas optoelectronicos y microtecnologia isom escuela tecnica superior de ingenieros de telecomunicacion etsit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de sistemas optoelectronicos y microtecnologia isom escuela tecnica superior de ingenieros de telecomunicacion etsit,,
13346,,instituto de teatro del madrid item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de teatro del madrid item,,
13347,,instituto de tecnicas energeticas inte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnicas energeticas inte,,
13348,,instituto de tecnologia agroalimentaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia agroalimentaria,,
13349,,instituto de tecnologia ceramica itc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia ceramica itc,,
13350,,instituto de tecnologia construccion y telecomunicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia construccion y telecomunicaciones,,
13351,,instituto de tecnologia construccion y telecomunicaciones itct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia construccion y telecomunicaciones itct,,
13352,,instituto de tecnologia de materiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia de materiales,,
13353,,instituto de tecnologia del conocimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia del conocimiento,,
13354,,instituto de tecnologia del conocimiento itc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia del conocimiento itc,,
13355,,instituto de tecnologia electrica ite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia electrica ite,,
13356,,instituto de tecnologia microelectronica tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia microelectronica tim,,
13357,,instituto de tecnologia quimica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia quimica,,
13358,,instituto de tecnologia quimica itq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia quimica itq,,
13359,,instituto de tecnologia quimica itq instituto de tecnologia quimica itq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia quimica itq instituto de tecnologia quimica itq,,
13360,,instituto de tecnologia quimica y ambiental itquima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia quimica y ambiental itquima,,
13361,,instituto de tecnologia quimica y medioambiental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia quimica y medioambiental,,
13362,,instituto de tecnologia quimica y medioambiental de ciudad real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia quimica y medioambiental de ciudad real,,
13363,,instituto de tecnologia quimica y medioambiental itquima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologia quimica y medioambiental itquima,,
13364,,instituto de tecnologias audiovisuales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologias audiovisuales,,
13365,,instituto de tecnologias avanzadas de la produccion itap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologias avanzadas de la produccion itap,,
13366,,instituto de tecnologias fisicas y de la informacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologias fisicas y de la informacion,,
13367,,instituto de tecnologias fisicas y de la informacion leonardo torres quevedo itefi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologias fisicas y de la informacion leonardo torres quevedo itefi,,
13368,,instituto de tecnologias quimica y medioambiental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologias quimica y medioambiental,,
13369,,instituto de tecnologias y sistemas de informacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de tecnologias y sistemas de informacion,,
13370,,instituto de telecomunicaciones y aplicaciones multimedia iteam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de telecomunicaciones y aplicaciones multimedia iteam,,
13371,,instituto de trafico y seguridad vial intras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto de trafico y seguridad vial intras,,
13372,,instituto del agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto del agua,,
13373,,instituto del corcho la madera y el carbon vegetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto del corcho la madera y el carbon vegetal,,
13374,,instituto del teatro de madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto del teatro de madrid,,
13375,,instituto del transporte y territorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto del transporte y territorio,,
13376,,instituto delproximo oriente antiguo ipoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto delproximo oriente antiguo ipoa,,
13377,,instituto desarrollo regional e irec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto desarrollo regional e irec,,
13378,,instituto deusto de drogodependencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto deusto de drogodependencias,,
13379,,instituto espanol de oceanografia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto espanol de oceanografia,,
13380,,instituto espanol de oceanografia centro oceanografico de vigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto espanol de oceanografia centro oceanografico de vigo,,
13381,,instituto espanol de oceanografia coruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto espanol de oceanografia coruna,,
13382,,instituto espanol de oceanografia ieo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto espanol de oceanografia ieo,,
13383,,instituto espanol de oceanografia instituto espanol de oceanografia ieo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto espanol de oceanografia instituto espanol de oceanografia ieo,,
13384,,instituto espanol de oceanografia o a p m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto espanol de oceanografia o a p m,,
13385,,instituto espanol de oceanografia vigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto espanol de oceanografia vigo,,
13386,,instituto estudios internac y europeos francisco de vitoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto estudios internac y europeos francisco de vitoria,,
13387,,instituto federal suizo de tecnologia eth zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto federal suizo de tecnologia eth zurich,,
13388,,instituto feijoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto feijoo,,
13389,,instituto franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto franklin,,
13390,,instituto galego de fisica de altas enerxias igfae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto galego de fisica de altas enerxias igfae,,
13391,,instituto gallego de fisica de altas energias igfae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto gallego de fisica de altas energias igfae,,
13392,,instituto gallego de fisica de altas energias igfae instituto gallego de fisica de altas energias igfae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto gallego de fisica de altas energias igfae instituto gallego de fisica de altas energias igfae,,
13393,,instituto gallego de fisica de altas energias igfae unidad de excelencia maria de maetzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto gallego de fisica de altas energias igfae unidad de excelencia maria de maetzu,,
13394,,instituto geografico nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto geografico nacional,,
13395,,instituto geologico y minero de espana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto geologico y minero de espana,,
13396,,instituto geologico y minero de espana igme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto geologico y minero de espana igme,,
13397,,instituto gregorio millan barbany de fluidodinamica nanociencia y matematica industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto gregorio millan barbany de fluidodinamica nanociencia y matematica industrial,,
13398,,instituto habitat turismo territorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto habitat turismo territorio,,
13399,,instituto hispano luso de investigaciones agrarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto hispano luso de investigaciones agrarias,,
13400,,instituto hispano luso de investigaciones agrarias ciale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto hispano luso de investigaciones agrarias ciale,,
13401,,instituto hospital del mar de investigaciones medicas imim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto hospital del mar de investigaciones medicas imim,,
13402,,instituto inico facultad psicologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto inico facultad psicologia,,
13403,,instituto interdisciplinar en estudios de genero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interdisciplinar en estudios de genero,,
13404,,instituto interdisciplinario de internet in3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interdisciplinario de internet in3,,
13405,,instituto internacional de investigaciones prehistoricas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto internacional de investigaciones prehistoricas,,
13406,,instituto internacional de investigaciones prehistoricas de cantabria iiipc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto internacional de investigaciones prehistoricas de cantabria iiipc,,
13407,,instituto internacional de sociologia juridica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto internacional de sociologia juridica,,
13408,,instituto interuniv de investigacion avanzada sobre evaluacion de la ciencia y la universidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniv de investigacion avanzada sobre evaluacion de la ciencia y la universidad,,
13409,,instituto interunivers estudios del proximo oriente antiguo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interunivers estudios del proximo oriente antiguo,,
13410,,instituto interuniversitario de desarrollo local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de desarrollo local,,
13411,,instituto interuniversitario de economia internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de economia internacional,,
13412,,instituto interuniversitario de filologia valenciana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de filologia valenciana,,
13413,,instituto interuniversitario de investigacion de reconocimiento molecular y desarrollo tecnologico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de investigacion de reconocimiento molecular y desarrollo tecnologico,,
13414,,instituto interuniversitario de investigacion de reconocimiento molecular y desarrollo tecnologico idm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de investigacion de reconocimiento molecular y desarrollo tecnologico idm,,
13415,,instituto interuniversitario de investigacion del sistema tierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de investigacion del sistema tierra,,
13416,,instituto interuniversitario de investigacion del sistema tierra en andalucia iista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de investigacion del sistema tierra en andalucia iista,,
13417,,instituto interuniversitario de investigacion en bioingenieria y tecnologia orientada al ser humano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de investigacion en bioingenieria y tecnologia orientada al ser humano,,
13418,,instituto interuniversitario de lenguas modernas aplicadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de lenguas modernas aplicadas,,
13419,,instituto interuniversitario de reconocimiento molecular y desarrollo tecnologico idm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto interuniversitario de reconocimiento molecular y desarrollo tecnologico idm,,
13420,,instituto inv biomedica de lleida fundacion dr pifarre irblleida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto inv biomedica de lleida fundacion dr pifarre irblleida,,
13421,,instituto laureano figuerola de historia economica e instituciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto laureano figuerola de historia economica e instituciones,,
13422,,instituto lou de humanismo y tradicion clasica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto lou de humanismo y tradicion clasica,,
13423,,instituto max planck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto max planck,,
13424,,instituto max planck de derecho penal internacional y comparado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto max planck de derecho penal internacional y comparado,,
13425,,instituto max planck de derecho publico comparado y derecho internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto max planck de derecho publico comparado y derecho internacional,,
13426,,instituto medio ambiente recursos naturales y biodiversidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto medio ambiente recursos naturales y biodiversidad,,
13427,,instituto mediterraneo de estudios avanzados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto mediterraneo de estudios avanzados,,
13428,,instituto mediterraneo de estudios avanzados imedea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto mediterraneo de estudios avanzados imedea,,
13429,,instituto mediterraneo de estudios avanzados imedea csic uib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto mediterraneo de estudios avanzados imedea csic uib,,
13430,,instituto mixto universidad carlos iii de madrid banco de santander en big data financiero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto mixto universidad carlos iii de madrid banco de santander en big data financiero,,
13431,,instituto mixto universitario deporte y salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto mixto universitario deporte y salud,,
13432,,instituto mixto universitario deporte y salud unidad cientifica de excelencia ejercicio y salud ucees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto mixto universitario deporte y salud unidad cientifica de excelencia ejercicio y salud ucees,,
13433,,instituto multidiciplinar para el estudio del medio ramon margalef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto multidiciplinar para el estudio del medio ramon margalef,,
13434,,instituto multidisciplinar de empresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto multidisciplinar de empresa,,
13435,,instituto murciano de investigacion biosanitaria imib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto murciano de investigacion biosanitaria imib,,
13436,,instituto murciano de investigacion biosanitaria imib arrixaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto murciano de investigacion biosanitaria imib arrixaca,,
13437,,instituto murciano de investigacion biosanitaria virgen de la arrixaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto murciano de investigacion biosanitaria virgen de la arrixaca,,
13438,,instituto nacional de antropologia e historia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de antropologia e historia,,
13439,,instituto nacional de educacion fisica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de educacion fisica,,
13440,,instituto nacional de investigacion y tecnologia agraria y alimentaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de investigacion y tecnologia agraria y alimentaria,,
13441,,instituto nacional de investigacion y tecnologia agraria y alimentaria inia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de investigacion y tecnologia agraria y alimentaria inia,,
13442,,instituto nacional de microelectronica centro nacional de microelectronica imb cnm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de microelectronica centro nacional de microelectronica imb cnm,,
13443,,instituto nacional de tecnica aeroespacial esteban terradas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de tecnica aeroespacial esteban terradas,,
13444,,instituto nacional de tecnica aeroespacial esteban terradas inta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de tecnica aeroespacial esteban terradas inta,,
13445,,instituto nacional de tecnica aeroespacial inta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de tecnica aeroespacial inta,,
13446,,instituto nacional de tecnologia agropecuaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional de tecnologia agropecuaria,,
13447,,instituto nacional del carbon agencia estatal consejo superior de investigaciones cientificas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional del carbon agencia estatal consejo superior de investigaciones cientificas,,
13448,,instituto nacional del carbon consejo superior de investigaciones cientificas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional del carbon consejo superior de investigaciones cientificas,,
13449,,instituto nacional del carbon csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instituto nacional del carbon csic,,
